Mean_X,StdDev_X,Min_X,Max_X,Mean_Y,StdDev_Y,Min_Y,Max_Y,Mean_Z,StdDev_Z,Min_Z,Max_Z,Activity,Subject
0.05418967497400001,1.1757628216693439,-2.76685,5.199925,0.07865266351200002,1.914753853856515,-6.103475,3.5152,0.18644672277399996,1.2244958558878092,-5.0035,3.529125,WALKING_DOWNSTAIRS,1
-0.005281019998000012,3.2457072946062326,-9.5518,9.72125,-0.4899708352319999,4.351851224457684,-15.99655,8.24734,0.17585104525200002,3.7360466398721264,-17.008175,14.51374,WALKING_DOWNSTAIRS,2
0.03722950928600001,4.09713960228588,-9.8579,13.53605,-0.5721471109599999,5.015890688285745,-17.01716667,9.466775,0.342225093574,4.467679795209535,-17.06446667,16.274125,WALKING_DOWNSTAIRS,3
0.05382017547599998,2.6645339422145295,-7.04855,7.755575,-0.14401832261,2.8604317117097735,-12.70828571,4.9811,-0.143509609508,2.459860495032676,-11.235525,8.1393,WALKING_DOWNSTAIRS,4
0.17339730357,2.8329979485438104,-10.228925,9.08556,-0.238520655466,2.9631057915350145,-10.1825,5.305375,-0.17575127761399997,2.661855444923851,-10.12705,10.832475,WALKING_DOWNSTAIRS,5
0.12431512618999999,2.8077574956081293,-8.082325,9.817575,-0.198360095242,2.9845052331621624,-11.519725,6.673833333,-0.244742505726,2.342200850775486,-8.2939,7.922633333,WALKING_DOWNSTAIRS,6
-0.10926258253599999,2.7897455250494,-7.468875,7.593075,-0.22324946562200004,3.140193915979239,-12.79412857,7.7914,0.325616450556,1.7352151401751865,-7.0429,6.787575,WALKING_UPSTAIRS,1
-0.565814785716,2.2265015935417525,-9.443375,6.818266667,-0.522029928094,2.6003557633490613,-8.070366667,4.877075,0.181957352852,2.9964203018678592,-9.662475,9.0351,WALKING_UPSTAIRS,2
-0.20604803189999998,2.020338341177984,-4.302525,6.3499,-0.191594279046,1.6752332360297673,-7.054975,2.40185,0.016622891428000032,1.3510750308620483,-9.178825,7.121825,WALKING_UPSTAIRS,3
-0.13243078437000003,2.457577069873375,-6.247966667,8.1054,-0.331095442218,2.112697494991369,-8.660333333,5.269733333,0.035811257621999985,1.680233851810684,-7.652325,6.285375,WALKING_UPSTAIRS,4
0.012608376203999995,2.343218741781761,-7.065,6.531475,-0.306919832382,2.387202370545994,-11.30693333,4.175775,0.22844808547599996,2.487929377792885,-16.53943333,7.896733333,WALKING_UPSTAIRS,5
0.025207572847999994,2.6531175782480894,-9.112533333,7.449075,-0.32828528617799996,2.8785703326455545,-16.95118,6.29715,0.37900335570599997,2.711807904817,-10.682125,8.554625,WALKING_UPSTAIRS,6
