time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
6.223001,-0.5699,-0.1941,0.079,0.607
6.24244,-0.607,-0.169,0.1148,0.64
6.268956,-0.3532,-0.067,0.1308,0.383
6.282924,-0.2304,-0.1139,0.0508,0.262
6.302155,-0.275,-0.2161,0.0216,0.35
6.323852,-0.3209,-0.1432,0.0469,0.354
6.342233,-0.2484,-0.0849,-0.0407,0.266
6.36318,-0.2435,0.0036,0.0727,0.254
6.382011,-0.2209,-0.0263,0.0955,0.242
6.4016,-0.2617,0.0226,0.0551,0.268
6.422929,-0.2578,0.0428,-0.006,0.261
6.441852,-0.2451,-0.0165,-0.0087,0.246
6.463583,-0.2645,-0.0448,0.0558,0.274
6.481965,-0.2572,-0.0277,0.0601,0.266
6.501665,-0.2907,-0.0008,0.0045,0.291
6.524,-0.2768,0.0313,-0.0193,0.279
6.542187,-0.1999,0.0215,0.0126,0.201
6.565178,-0.165,0.0037,0.0304,0.168
6.581364,-0.1553,-0.0472,0.0322,0.165
6.601366,-0.1342,-0.091,-0.0061,0.162
6.622664,-0.128,-0.13,-0.0313,0.185
6.641672,-0.0851,-0.1031,-0.0331,0.138
6.666648,0.0957,-0.0294,0.0751,0.125
6.681696,0.0504,-0.1866,-0.0937,0.215
6.701204,-0.0988,-0.1088,-0.2367,0.279
6.723796,-0.1132,-0.0102,-0.1099,0.158
6.74197,-0.1858,0.0151,-0.0009,0.186
6.764616,-0.2739,-0.0109,-0.0593,0.28
6.780714,-0.3288,-0.0097,-0.1415,0.358
6.800767,-0.485,0.0375,-0.0552,0.49
6.82266,-0.1608,0.3105,-0.0702,0.357
6.840962,0.3661,0.6138,-0.333,0.788
6.863176,1.1699,0.3312,0.042,1.217
6.880872,0.6229,-0.6439,0.5577,1.055
6.900414,-0.9253,-0.975,0.411,1.406
6.920935,-0.6558,-0.1533,0.1418,0.688
6.94641,-0.0119,0.1202,-0.2355,0.265
6.960939,0.5429,-0.1298,-0.2952,0.631
6.980372,0.4378,-0.3073,-0.0939,0.543
7.000332,0.1608,-0.4024,-0.0438,0.436
7.020193,-0.1285,-0.4242,0.2328,0.501
7.045429,-0.2201,-0.2971,0.2284,0.435
7.060497,-0.0307,-0.1226,0.0131,0.127
7.080173,0.1951,-0.0178,-0.0886,0.215
7.100601,0.1291,0.071,-0.0863,0.171
7.120231,-0.1436,0.1023,-0.0079,0.176
7.150509,-0.3726,0.134,0.0569,0.4
7.167928,-0.427,0.1309,0.0589,0.451
7.18012,-0.356,0.1513,0.0292,0.388
7.199882,-0.277,0.1705,0.0593,0.331
7.219716,-0.2954,0.1672,0.0873,0.351
7.245738,-0.3488,0.0792,0.079,0.366
7.260185,-0.3068,-0.0011,0.0769,0.316
7.279814,-0.2464,-0.0325,0.0473,0.253
7.299435,-0.1713,-0.0447,0.0161,0.178
7.319986,-0.142,-0.0424,-0.0037,0.148
7.345627,-0.0929,-0.0587,0.0028,0.11
7.359345,-0.0206,-0.0774,0.0312,0.086
7.379715,0.0142,-0.0865,0.0322,0.093
7.39938,0.016,-0.1053,0.0131,0.107
7.419535,0.0174,-0.1288,-0.0164,0.131
7.444949,0.0204,-0.1506,-0.0113,0.152
7.45955,0.0396,-0.1327,0.0011,0.139
7.479287,0.0559,-0.0949,0.0089,0.11
7.499299,0.0713,-0.0257,-0.009,0.076
7.519232,0.063,0.0132,-0.0483,0.08
7.551537,0.0616,0.0098,-0.0199,0.065
7.559722,0.0401,0.0231,-0.0182,0.05
7.579537,0.0283,0.0015,-0.0115,0.031
7.598775,-0.0288,-0.0451,-0.0105,0.055
7.61958,-0.0644,-0.0733,0.0086,0.098
7.645583,-0.065,-0.0738,0.0233,0.101
7.66055,-0.057,-0.0546,0.0082,0.079
7.679309,-0.053,-0.0582,-0.0169,0.081
7.699093,-0.0524,-0.0282,-0.0243,0.064
7.719165,-0.0388,0.0268,-0.0147,0.049
7.745991,-0.0638,0.0582,-0.0094,0.087
7.760501,-0.0609,0.0697,-0.0104,0.093
7.779123,-0.0587,0.0717,0.0079,0.093
7.799023,-0.0449,0.0411,0.0021,0.061
7.821914,-0.043,0.0005,0.0006,0.043
7.838993,-0.0104,-0.0338,0.0037,0.036
7.867388,0.0071,-0.067,-0.0027,0.067
7.88003,0.0189,-0.0947,-0.006,0.097
7.898237,0.0127,-0.1081,-0.0009,0.109
7.917659,0.0274,-0.1084,-0.0047,0.112
7.940514,0.0224,-0.0931,-0.0055,0.096
7.95828,0.0248,-0.0741,0.0051,0.078
7.978494,0.009,-0.0487,0.0082,0.05
7.998886,0.013,-0.0495,0.0179,0.054
8.01835,-0.0012,-0.0385,0.0314,0.05
8.045594,-0.0073,-0.033,0.0132,0.036
8.059559,0.008,-0.0304,-0.0016,0.032
8.078988,0.0066,-0.054,-0.0044,0.055
8.097662,-0.0253,-0.0936,-0.0215,0.099
8.1182,0.0264,-0.125,0.0046,0.128
8.142828,0.0494,-0.1224,0.0597,0.145
8.158292,-0.0052,-0.0613,0.151,0.163
